"";"V0001";"V0002";"V0011";"V0300";"V0010";"V1001";"V1002";"V1003";"V1004";"V1006";"V4001";"V4002";"V0201";"V2011";"V2012";"V0202";"V0203";"V6203";"V0204";"V6204";"V0205";"V0206";"V0207";"V0208";"V0209";"V0210";"V0211";"V0212";"V0213";"V0214";"V0215";"V0216";"V0217";"V0218";"V0219";"V0220";"V0221";"V0222";"V0301";"V0401";"V0402";"V0701";"V6529";"V6530";"V6531";"V6532";"V6600";"V6210";"M0201";"M2011";"M0202";"M0203";"M0204";"M0205";"M0206";"M0207";"M0208";"M0209";"M0210";"M0211";"M0212";"M0213";"M0214";"M0215";"M0216";"M0217";"M0218";"M0219";"M0220";"M0221";"M0222";"M0301";"M0401";"M0402";"M0701"
"2902";35;49904;"3549904005005";1253833;18,9035042782867;3;13;50;0;1;1;11;1;NA;NA;"1";3;0,3;1;1;1;"";4;1;1;1;1;1;1;1;2;1;1;2;2;NA;2;2;2;1;1;2;0;0;0;0;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2
"2903";35;49904;"3549904005005";1256998;25,9312677867433;3;13;50;0;1;1;11;3;450;0,88235;"1";4;0,8;2;1,5;1;"";1;1;1;1;1;2;1;1;2;1;1;2;1;2;2;1;2;3;1;2;1500;2,94118;750;1,47059;4;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
"2904";35;49904;"3549904005005";1262228;20,7152058267973;3;13;50;0;1;1;11;4;NA;NA;"1";5;0,4;1;2;1;"";2;2;1;2;1;2;1;1;2;1;1;2;2;NA;2;2;2;2;1;2;610;1,19608;305;0,59804;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
"2905";35;49904;"3549904005005";1283462;18,4398090578461;3;13;50;0;1;1;11;1;NA;NA;"1";5;0,8;3;1,3;1;"";1;1;1;1;1;1;2;1;1;1;1;1;2;NA;2;1;2;4;1;2;2470;4,84314;617,5;1,21078;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
"2906";35;49904;"3549904005005";1284074;22,7827529098694;3;13;50;0;1;1;11;3;270;0,52941;"1";3;0,7;1;2;1;"";3;1;1;1;1;1;1;1;2;1;1;2;2;NA;2;2;2;2;1;2;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
"2907";35;49904;"3549904005005";1290658;25,2875606481507;3;13;50;0;1;1;11;1;NA;NA;"1";4;1,3;2;2,5;1;"";1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;2;5;2;2;2000;3,92157;400;0,78431;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
"2908";35;49904;"3549904005005";1298320;20,9952163058505;3;13;50;0;1;1;11;1;NA;NA;"1";8;0,5;4;1;2;"";1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;2;4;2;2;19080;37,41176;4770;9,35294;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
"2909";35;49904;"3549904005005";1299470;16,2693589489049;3;13;50;0;1;1;11;1;NA;NA;"1";7;0,7;3;1,7;2;"";1;1;1;1;1;1;1;1;2;1;1;1;2;NA;1;1;2;5;1;2;6200;12,15686;1240;2,43137;3;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
"2910";35;49904;"3549904005005";1307376;20,8257628271394;3;13;50;0;1;1;11;1;NA;NA;"1";4;1;2;2;1;"";1;1;1;1;1;1;2;1;2;1;1;2;2;NA;2;1;2;4;1;2;900;1,76471;225;0,44118;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
"2911";35;49904;"3549904005005";1309990;15,032048420326;3;13;50;0;1;1;11;5;NA;NA;"1";5;0,8;2;2;1;"";1;1;1;1;1;1;1;1;2;1;1;2;2;NA;2;2;2;4;2;2;3690;7,23529;922,5;1,80882;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
"2912";35;49904;"3549904005005";1312523;22,3188201004323;3;13;50;0;1;1;11;1;NA;NA;"2";3;1,3;2;2;1;"";1;1;1;1;1;1;1;1;2;1;1;2;2;NA;2;2;2;4;2;2;1410;2,76471;352,5;0,69118;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
"2913";35;49904;"3549904005005";1322254;23,3340820845364;3;13;50;0;1;1;11;1;NA;NA;"1";5;1;3;1,7;2;"";1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;2;5;2;2;998;1,95686;199,6;0,39137;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
"2914";35;49904;"3549904005005";1328909;21,6264747904928;3;13;50;0;1;1;11;1;NA;NA;"1";5;1;2;2,5;1;"";1;1;1;1;1;1;1;1;2;1;1;1;1;1;2;2;2;5;1;2;2000;3,92157;400;0,78431;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
"2915";35;49904;"3549904005005";1330383;21,9961550964266;3;13;50;0;1;1;11;2;NA;NA;"1";4;1;1;4;1;"";1;1;1;1;1;1;1;1;1;1;1;2;1;1;2;1;2;4;1;2;2800;5,4902;700;1,37255;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
"2916";35;49904;"3549904005005";1334623;20,2625684732683;3;13;50;0;1;1;11;1;NA;NA;"2";4;0,5;1;2;2;"";3;1;1;1;1;1;1;1;2;1;1;1;1;1;2;1;2;2;2;2;2900;5,68627;1450;2,84314;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
"2917";35;49904;"3549904005005";1359521;17,8486101999849;3;13;50;0;1;1;11;2;NA;NA;"1";6;0,8;2;2,5;2;"";1;1;1;1;1;1;2;1;1;1;1;2;2;NA;2;2;2;5;1;2;3700;7,2549;740;1,45098;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
"2918";35;49904;"3549904005005";1360135;18,2795549322552;3;13;50;0;1;1;11;1;NA;NA;"1";6;0,3;2;1;2;"";1;1;1;1;1;1;1;1;1;1;1;1;2;NA;2;2;2;2;2;2;1500;2,94118;750;1,47059;4;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
"2919";35;49904;"3549904005005";1368839;25,5643602426687;3;13;50;0;1;1;11;1;NA;NA;"1";4;0,8;1;3;1;"";3;1;1;1;1;1;2;1;1;1;1;1;1;1;2;1;2;3;1;2;1500;2,94118;500;0,98039;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
"2920";35;49904;"3549904005005";1369546;15,7030120248524;3;13;50;0;1;1;11;2;NA;NA;"1";6;0,8;3;1,7;1;"";1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;1;2;5;1;2;8000;15,68627;1600;3,13725;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
"2921";35;49904;"3549904005005";1371082;15,1198656459655;3;13;50;0;1;1;11;2;NA;NA;"1";5;1;2;2,5;1;"";1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;1;2;5;2;2;2100;4,11765;420;0,82353;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
"2922";35;49904;"3549904005005";1373047;22,674696366536;3;13;50;0;1;1;11;2;NA;NA;"1";5;0,6;2;1,5;1;"";1;1;1;1;1;3;1;1;1;1;2;1;2;NA;2;1;2;3;2;2;800;1,56863;266,67;0,52288;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
"2923";35;49904;"3549904005005";1391500;19,3406698581154;3;13;50;0;1;1;11;1;NA;NA;"1";9;0,4;3;1,3;2;"";3;1;1;1;1;1;1;1;1;1;1;1;1;2;2;1;2;4;2;2;1400;2,7451;350;0,68627;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
"2924";35;49904;"3549904005005";1407904;29,1982403972008;3;13;50;0;1;1;11;1;NA;NA;"2";7;0,3;2;1;1;"";5;1;1;1;1;1;1;1;2;1;1;1;2;NA;2;2;2;2;1;2;510;1;255;0,5;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
"2925";35;49904;"3549904005005";1423901;22,8814201124647;3;13;50;0;1;1;11;1;NA;NA;"2";10;0,4;4;1;2;"";2;1;1;1;1;1;1;1;1;1;1;1;1;2;2;1;2;4;1;2;3500;6,86275;875;1,71569;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
"2926";35;49904;"3549904005005";1434972;26,53028143005;3;13;50;0;1;1;11;1;NA;NA;"2";3;1,7;2;2,5;1;"";3;1;1;1;1;1;1;1;2;1;1;2;2;NA;1;2;2;5;1;2;622;1,21961;124,4;0,24392;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
"2927";35;49904;"3549904005005";1446392;19,999999999996;3;13;50;0;1;6;65;NA;NA;NA;"";NA;NA;NA;NA;NA;"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2
"2928";35;49904;"3549904005005";1446678;21,3071554367425;3;13;50;0;1;1;11;1;NA;NA;"1";5;0,6;2;1,5;1;"";1;1;1;1;1;1;1;1;1;1;2;1;2;NA;2;1;2;3;2;2;6001;11,76667;2000,33;3,92222;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
"2929";35;49904;"3549904005005";1455754;19,0313194993328;3;13;50;0;1;1;11;1;NA;NA;"1";4;1;1;4;1;"";1;1;1;1;1;1;2;1;1;1;1;1;2;NA;2;2;2;4;1;2;1918;3,76078;479,5;0,9402;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
"2930";35;49904;"3549904005005";1468621;20,3935055959096;3;13;50;0;1;1;11;1;NA;NA;"1";7;0,6;3;1,3;2;"";2;1;1;1;1;1;1;1;1;1;2;1;2;NA;2;1;2;4;1;2;1770;3,47059;442,5;0,86765;3;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
