"";"V0001";"V0002";"V0011";"V0300";"V0010";"V1001";"V1002";"V1003";"V1004";"V1006";"V0703";"V0704";"V7051";"V7052";"M0703";"M0704";"M7051";"M7052"
"114";35;49904;3549904005012;914923;23,1902985046926;3;13;50;0;1;5;1;83;NA;2;2;2;2
"115";35;49904;3549904005012;2540777;23,1902985046926;3;13;50;0;1;2;1;87;NA;2;2;2;2
"116";35;49904;3549904005012;2578086;19,773319046689;3;13;50;0;1;12;2;99;NA;2;2;2;2
"117";35;49904;3549904005012;2996444;26,6461034681247;3;13;50;0;1;11;1;63;NA;2;2;2;2
"118";35;49904;3549904005012;3297793;13,7716025720029;3;13;50;0;1;9;1;59;NA;2;2;2;2
"119";35;49904;3549904005012;4449180;18,5271895206314;3;13;50;0;1;9;1;73;NA;2;2;2;2
"120";35;49904;3549904005013;537319;24,4169802713365;3;13;50;0;1;7;2;19;NA;2;2;2;2
"121";35;49904;3549904005013;698361;25,5564797631716;3;13;50;0;1;6;2;72;NA;2;2;2;2
"122";35;49904;3549904005013;705073;23,4111246086271;3;13;50;0;1;11;1;77;NA;2;2;2;2
"123";35;49904;3549904005013;926140;23,012566244369;3;13;50;0;1;12;1;85;NA;2;2;2;2
"124";35;49904;3549904005013;1306130;21,8034701709581;3;13;50;0;1;6;1;90;NA;2;2;2;2
"125";35;49904;3549904005013;1608131;24,1621062201255;3;13;50;0;1;9;1;44;NA;2;2;2;2
"126";35;49904;3549904005013;1865974;18,4524169135652;3;13;50;0;1;8;1;70;NA;2;2;2;2
"127";35;49904;3549904005013;1967627;16,3674929914851;3;13;50;0;1;4;1;82;NA;2;2;2;2
"128";35;49904;3549904005013;2295151;19,9635357131434;3;13;50;0;1;11;1;50;NA;2;2;2;2
"129";35;49904;3549904005013;2599459;22,457084910878;3;13;50;0;1;9;1;74;NA;2;2;2;2
"130";35;49904;3549904005013;2636360;17,5142960459866;3;13;50;0;1;7;2;42;NA;2;2;2;2
"131";35;49904;3549904005013;2650730;17,8328314764809;3;13;50;0;1;2;1;45;NA;2;2;2;2
"132";35;49904;3549904005013;3456303;18,5091854464743;3;13;50;0;1;8;1;37;NA;2;2;2;2
"133";35;49904;3549904005013;4657874;23,3018414382897;3;13;50;0;1;7;1;45;NA;2;2;2;2
"134";35;49904;3549904005013;4669984;21,5947135749279;3;13;50;0;1;2;1;84;NA;2;2;2;2
"135";35;49904;3549904005013;5426236;20,405804287975;3;13;50;0;1;1;1;36;NA;2;2;2;2
"136";35;49904;3549904005013;5893447;15,76285139431;3;13;50;0;1;11;1;48;NA;2;2;2;2
"137";35;49904;3549904005013;5971047;25,3583769289564;3;13;50;0;1;2;1;73;NA;2;2;2;2
